sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,habitatId,habitatName,referenceDoi,referenceUrl,referenceCitation
,,Pipistrellus subflavus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis grisescens,,,,,,,,"Florida Caverns State Park, Jackson, FL, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,,Lee DS. Observations on the mating behavior of the gray bat and of the eastern pipistrelle in northwestern Florida. Bulletin of the National Speleological Society. 1976;38:71.,
,,Pipistrellus subflavus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis grisescens,,,,,,,,"Old Indian Cave, Florida Caverns State Park, Jackson, FL, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,,Lee DS. Observations on the mating behavior of the gray bat and of the eastern pipistrelle in northwestern Florida. Bulletin of the National Speleological Society. 1976;38:71.,
,,Pipistrellus subflavus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis keenii septentrionalis,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Pipistrellus subflavus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis lucifugus,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Pipistrellus subflavus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Eptesicus fuscus,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Myotis keenii septentrionalis,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis lucifugus,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Myotis keenii septentrionalis,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Eptesicus fuscus,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Myotis lucifugus,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Eptesicus fuscus,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,10.2307/1374548,https://www.jstor.org/stable/1374548,"Swanson G, Evans C. The hibernation of certain bats in southern Minnesota. Journal of Mammalogy. 1936 Feb 1;17(1):39-43."
,,Tadarida cynocephala,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Myotis austroriparius,,,,,,,,"near St. Peter, Minnesota, USA",,,,http://purl.obolibrary.org/obo/ENVO_00000073,building,10.2307/1374464,https://www.jstor.org/stable/1374464,Sherman HB. Breeding habits of the free-tailed bat. Journal of Mammalogy. 1937 May 1;18(2):176-87.
,,Myotis nigricans,,,,,,,http://purl.obolibrary.org/obo/RO_0002801,co-roosts with,,,Pteronotus rubiginosus mexicanus,,,,,,,,"Ojo de Agua, Tamaulipas, Mexico",,,,http://purl.obolibrary.org/obo/ENVO_00000067,cave,,https://file.largepdf.com/file/2019/04/09/9291072145.pdf,"Alvarez T. The recent mammals of Tamaulipas, Mexico. University of Kansas; 1963 May 20."
